name,birthday,single,date,age,selected,row,kanbaibusuu,preparebusuu,speed,kanbai,rest,1st,belong,shodou
hina,1998/3/22,5,2013/3/13,14,0,3,0,5,0,0,0,1,1,242053
hina,1998/3/22,6,2013/7/3,15,0,5,0,6,0,0,0,1,1,337138
hina,1998/3/22,7,2013/11/27,15,1,3,4,6,0,0,0,1,1,395127
hina,1998/3/22,8,2014/4/2,16,0,2,0,10,0,0,0,1,1,457837
hina,1998/3/22,9,2014/7/9,16,0,1,1,16,0,0,0,1,1,421622
hina,1998/3/22,10,2014/10/8,16,0,3,3,19,0,0,0,1,1,478788
hina,1998/3/22,11,2015/3/18,16,0,3,4,12,0,0,0,1,1,500297
hina,1998/3/22,12,2015/7/22,17,0,2,3,11,0,0,0,1,1,609202
hina,1998/3/22,13,2015/10/28,17,0,3,7,7,13,1,0,1,1,626905
hina,1998/3/22,14,2016/3/23,18,0,3,5,12,0,0,0,1,1,749706
hina,1998/3/22,15,2016/7/27,18,0,3,3,8,0,0,0,1,1,728189
hina,1998/3/22,16,2016/11/9,18,0,3,7,8,0,0,0,1,1,827717
mahiro,1995/7/23,1,2012/2/22,16,1,3,.,.,.,.,0,1,1,136309
mahiro,1995/7/23,2,2012/5/2,16,0,2,.,.,.,.,0,1,1,155677
mahiro,1995/7/23,3,2012/8/22,17,0,4,0,4,0,0,0,1,1,186613
mahiro,1995/7/23,4,2012/12/19,17,0,3,0,5,0,0,0,1,1,232961
mahiro,1995/7/23,5,2013/3/13,17,0,2,1,5,0,0,0,1,1,242053
mahiro,1995/7/23,6,2013/7/3,17,0,3,1,6,0,0,0,1,1,337138
mahiro,1995/7/23,7,2013/11/27,18,0,2,2,6,0,0,0,1,1,395127
mahiro,1995/7/23,8,2014/4/2,18,1,3,0,10,0,0,0,1,1,457837
mahiro,1995/7/23,9,2014/7/9,18,0,2,0,10,0,0,0,1,1,421622
mahiro,1995/7/23,10,2014/10/8,19,0,3,1,12,0,0,0,1,1,478788
mahiro,1995/7/23,11,2015/3/18,19,0,3,1,6,0,0,0,1,1,500297
mahiro,1995/7/23,12,2015/7/22,19,0,1,3,8,0,0,0,1,1,609202
mahiro,1995/7/23,13,2015/10/28,20,0,2,4,6,0,0,0,1,1,626905
mahiro,1995/7/23,14,2016/3/23,20,0,2,4,6,0,0,0,1,1,749706
mahiro,1995/7/23,15,2016/7/27,21,0,3,0,10,0,0,0,1,1,728189
mahiro,1995/7/23,16,2016/11/9,21,0,1,6,6,7,1,0,1,1,827717
asuka,1998/8/10,1,2012/2/22,13,1,3,.,.,.,.,0,1,1,136309
asuka,1998/8/10,2,2012/5/2,13,0,3,.,.,.,.,0,1,1,155677
asuka,1998/8/10,3,2012/8/22,14,0,2,3,8,0,0,0,1,1,186613
asuka,1998/8/10,4,2012/12/19,14,1,3,2,14,0,0,0,1,1,232961
asuka,1998/8/10,5,2013/3/13,14,0,1,1,13,0,0,0,1,1,242053
asuka,1998/8/10,6,2013/7/3,14,0,1,5,20,0,0,0,1,1,337138
asuka,1998/8/10,7,2013/11/27,15,1,3,9,20,0,0,0,1,1,395127
asuka,1998/8/10,8,2014/4/2,15,0,1,2,23,0,0,0,1,1,457837
asuka,1998/8/10,9,2014/7/9,15,0,1,3,26,0,0,0,1,1,421622
asuka,1998/8/10,10,2014/10/8,16,0,1,5,31,0,0,0,1,1,478788
asuka,1998/8/10,11,2015/3/18,16,1,3,28,28,14,1,0,1,1,500297
asuka,1998/8/10,12,2015/7/22,16,1,3,30,30,7,1,0,1,1,609202
asuka,1998/8/10,13,2015/10/28,17,1,2,30,30,6,1,0,1,1,626905
asuka,1998/8/10,14,2016/3/23,17,1,2,30,30,4,1,0,1,1,749706
asuka,1998/8/10,15,2016/7/27,17,1,1,30,30,2,1,0,1,1,728189
asuka,1998/8/10,16,2016/11/9,18,1,2,30,30,4,1,0,1,1,827717
tiharu,1997/2/17,1,2012/2/22,15,0,2,.,.,.,.,0,1,1,136309
tiharu,1997/2/17,2,2012/5/2,15,0,2,.,.,.,.,0,1,1,155677
tiharu,1997/2/17,3,2012/8/22,15,0,5,0,4,0,0,0,1,1,186613
tiharu,1997/2/17,4,2012/12/19,15,0,4,0,5,0,0,0,1,1,232961
tiharu,1997/2/17,5,2013/3/13,16,0,3,0,5,0,0,0,1,1,242053
tiharu,1997/2/17,6,2013/7/3,16,0,4,0,6,0,0,0,1,1,337138
tiharu,1997/2/17,7,2013/11/27,16,0,3,1,6,0,0,0,1,1,395127
tiharu,1997/2/17,8,2014/4/2,17,0,3,0,6,0,0,0,1,1,457837
tiharu,1997/2/17,9,2014/7/9,17,0,3,0,6,0,0,0,1,1,421622
tiharu,1997/2/17,10,2014/10/8,17,1,3,0,10,0,0,0,1,1,478788
tiharu,1997/2/17,11,2015/3/18,18,0,3,0,6,0,0,0,1,1,500297
tiharu,1997/2/17,12,2015/7/22,18,0,2,3,6,0,0,0,1,1,609202
tiharu,1997/2/17,13,2015/10/28,18,0,2,6,7,0,0,0,1,1,626905
tiharu,1997/2/17,14,2016/3/23,19,0,3,6,12,0,0,0,1,1,749706
tiharu,1997/2/17,15,2016/7/27,19,0,2,6,6,7,1,0,1,1,728189
tiharu,1997/2/17,16,2016/11/9,19,0,2,12,12,10,1,0,1,1,827717
yuuri,1993/7/20,1,2012/2/22,18,1,3,.,.,.,.,0,1,1,136309
yuuri,1993/7/20,2,2012/5/2,18,1,3,.,.,.,.,0,1,1,155677
yuuri,1993/7/20,3,2012/8/22,19,1,3,3,12,0,0,0,1,1,186613
yuuri,1993/7/20,4,2012/12/19,19,0,1,1,16,0,0,0,1,1,232961
yuuri,1993/7/20,5,2013/3/13,19,0,1,2,13,0,0,0,1,1,242053
yuuri,1993/7/20,6,2013/7/3,19,1,3,8,20,0,0,0,1,1,337138
yuuri,1993/7/20,7,2013/11/27,20,0,1,9,20,0,0,0,1,1,395127
yuuri,1993/7/20,8,2014/4/2,20,0,1,6,22,0,0,0,1,1,457837
yuuri,1993/7/20,9,2014/7/9,20,1,3,1,24,0,0,0,1,1,421622
yuuri,1993/7/20,10,2014/10/8,21,0,2,1,24,0,0,0,1,1,478788
yuuri,1993/7/20,11,2015/3/18,21,0,1,10,22,0,0,0,1,1,500297
yuuri,1993/7/20,12,2015/7/22,22,1,3,18,22,0,0,0,1,1,609202
yuuri,1993/7/20,13,2015/10/28,22,0,2,13,28,0,0,0,1,1,626905
yuuri,1993/7/20,14,2016/3/23,22,0,1,16,18,0,0,0,1,1,749706
yuuri,1993/7/20,15,2016/7/27,23,0,2,21,22,0,0,0,1,1,728189
yuuri,1993/7/20,16,2016/11/9,23,0,2,24,24,9,1,0,1,1,827717
reika,1994/5/16,1,2012/2/22,17,1,3,.,.,.,.,0,1,1,136309
reika,1994/5/16,2,2012/5/2,17,1,1,.,.,.,.,0,1,1,155677
reika,1994/5/16,3,2012/8/22,18,1,1,4,14,0,0,0,1,1,186613
reika,1994/5/16,4,2012/12/19,18,1,2,6,19,0,0,0,1,1,232961
reika,1994/5/16,5,2013/3/13,18,1,2,4,21,0,0,0,1,1,242053
reika,1994/5/16,6,2013/7/3,19,1,2,26,27,0,0,0,1,1,337138
reika,1994/5/16,7,2013/11/27,19,1,2,28,28,8,1,0,1,1,395127
reika,1994/5/16,8,2014/4/2,19,1,2,26,30,0,0,0,1,1,457837
reika,1994/5/16,9,2014/7/9,20,1,2,30,30,11,1,0,1,1,421622
reika,1994/5/16,10,2014/10/8,20,1,2,30,30,10,1,0,1,1,478788
reika,1994/5/16,11,2015/3/18,20,1,2,28,30,0,0,0,1,1,500297
reika,1994/5/16,12,2015/7/22,21,1,2,30,30,8,1,0,1,1,609202
reika,1994/5/16,13,2015/10/28,21,1,3,30,30,7,1,0,1,1,626905
reika,1994/5/16,14,2016/3/23,21,1,3,30,30,5,1,0,1,1,749706
reika,1994/5/16,15,2016/7/27,22,1,2,30,30,5,1,0,1,1,728189
reika,1994/5/16,16,2016/11/9,22,1,3,30,30,4,1,0,1,1,827717
maiyan,1992/8/20,1,2012/2/22,19,1,2,.,.,.,.,0,1,1,136309
maiyan,1992/8/20,2,2012/5/2,19,1,2,.,.,.,.,0,1,1,155677
maiyan,1992/8/20,3,2012/8/22,20,1,2,18,20,0,0,0,1,1,186613
maiyan,1992/8/20,4,2012/12/19,20,1,2,25,25,6,1,0,1,1,232961
maiyan,1992/8/20,5,2013/3/13,20,1,2,25,25,5,1,0,1,1,242053
maiyan,1992/8/20,6,2013/7/3,20,1,1,30,30,6,1,0,1,1,337138
maiyan,1992/8/20,7,2013/11/27,21,1,1,30,30,5,1,0,1,1,395127
maiyan,1992/8/20,8,2014/4/2,21,1,1,30,30,6,1,0,1,1,457837
maiyan,1992/8/20,9,2014/7/9,21,1,1,30,30,6,1,0,1,1,421622
maiyan,1992/8/20,10,2014/10/8,22,1,1,35,35,8,1,0,1,1,478788
maiyan,1992/8/20,11,2015/3/18,22,1,1,30,30,3,1,0,1,1,500297
maiyan,1992/8/20,12,2015/7/22,22,1,1,30,30,4,1,0,1,1,609202
maiyan,1992/8/20,13,2015/10/28,23,1,1,30,30,3,1,0,1,1,626905
maiyan,1992/8/20,14,2016/3/23,23,1,1,30,30,2,1,0,1,1,749706
maiyan,1992/8/20,15,2016/7/27,23,1,1,30,30,2,1,0,1,1,728189
maiyan,1992/8/20,16,2016/11/9,24,1,1,30,30,4,1,0,1,1,827717
kazumi,1994/2/8,1,2012/2/22,18,1,2,.,.,.,.,0,1,1,136309
kazumi,1994/2/8,2,2012/5/2,18,1,2,.,.,.,.,0,1,1,155677
kazumi,1994/2/8,3,2012/8/22,18,1,2,11,16,0,0,0,1,1,186613
kazumi,1994/2/8,4,2012/12/19,18,1,3,8,21,0,0,0,1,1,232961
kazumi,1994/2/8,5,2013/3/13,19,1,3,2,23,0,0,0,1,1,242053
kazumi,1994/2/8,6,2013/7/3,19,1,2,7,28,0,0,0,1,1,337138
kazumi,1994/2/8,7,2013/11/27,19,1,3,23,28,0,0,0,1,1,395127
kazumi,1994/2/8,8,2014/4/2,20,1,3,19,30,0,0,0,1,1,457837
kazumi,1994/2/8,9,2014/7/9,20,1,3,6,30,0,0,0,1,1,421622
kazumi,1994/2/8,10,2014/10/8,20,1,3,12,35,0,0,0,1,1,478788
kazumi,1994/2/8,11,2015/3/18,21,1,3,13,30,0,0,0,1,1,500297
kazumi,1994/2/8,12,2015/7/22,21,1,2,28,28,11,1,0,1,1,609202
kazumi,1994/2/8,13,2015/10/28,21,1,2,30,30,11,1,0,1,1,626905
kazumi,1994/2/8,14,2016/3/23,22,1,2,30,30,10,1,0,1,1,749706
kazumi,1994/2/8,15,2016/7/27,22,1,2,27,27,8,1,0,1,1,728189
kazumi,1994/2/8,16,2016/11/9,22,1,1,30,30,5,1,0,1,1,827717
kana,1994/8/6,1,2012/2/22,17,1,3,.,.,.,.,0,1,1,136309
kana,1994/8/6,2,2012/5/2,17,1,1,.,.,.,.,0,1,1,155677
kana,1994/8/6,3,2012/8/22,18,1,2,2,14,0,0,0,1,1,186613
kana,1994/8/6,4,2012/12/19,18,0,1,5,19,0,0,0,1,1,232961
kana,1994/8/6,5,2013/3/13,18,1,3,1,18,0,0,0,1,1,242053
kana,1994/8/6,6,2013/7/3,18,1,3,5,26,0,0,0,1,1,337138
kana,1994/8/6,7,2013/11/27,19,0,2,7,26,0,0,0,1,1,395127
kana,1994/8/6,8,2014/4/2,19,0,2,3,26,0,0,0,1,1,457837
kana,1994/8/6,9,2014/7/9,19,0,2,2,28,0,0,0,1,1,421622
kana,1994/8/6,10,2014/10/8,20,0,2,4,31,0,0,0,1,1,478788
kana,1994/8/6,11,2015/3/18,20,0,2,8,22,0,0,0,1,1,500297
kana,1994/8/6,12,2015/7/22,20,0,1,14,22,0,0,0,1,1,609202
kana,1994/8/6,13,2015/10/28,21,0,2,18,18,14,1,0,1,1,626905
kana,1994/8/6,14,2016/3/23,21,0,2,21,24,0,0,0,1,1,749706
kana,1994/8/6,15,2016/7/27,21,0,2,27,28,0,0,0,1,1,728189
kana,1994/8/6,16,2016/11/9,22,0,1,30,30,9,1,0,1,1,827717
himetan,1996/4/13,1,2012/2/22,15,0,1,.,.,.,.,0,1,1,136309
himetan,1996/4/13,2,2012/5/2,16,0,3,.,.,.,.,0,1,1,155677
himetan,1996/4/13,3,2012/8/22,16,0,5,0,6,0,0,0,1,1,186613
himetan,1996/4/13,4,2012/12/19,16,0,3,0,8,0,0,0,1,1,232961
himetan,1996/4/13,5,2013/3/13,16,0,3,2,8,0,0,0,1,1,242053
himetan,1996/4/13,6,2013/7/3,17,0,2,0,10,0,0,0,1,1,337138
himetan,1996/4/13,7,2013/11/27,17,1,3,9,10,0,0,0,1,1,395127
himetan,1996/4/13,8,2014/4/2,17,0,2,5,17,0,0,0,1,1,457837
himetan,1996/4/13,9,2014/7/9,18,0,2,2,22,0,0,0,1,1,421622
himetan,1996/4/13,10,2014/10/8,18,0,2,5,25,0,0,0,1,1,478788
himetan,1996/4/13,11,2015/3/18,18,0,1,12,22,0,0,0,1,1,500297
himetan,1996/4/13,12,2015/7/22,19,0,1,18,22,0,0,0,1,1,609202
himetan,1996/4/13,13,2015/10/28,19,0,1,23,23,10,1,0,1,1,626905
himetan,1996/4/13,14,2016/3/23,19,0,1,30,30,5,1,0,1,1,749706
himetan,1996/4/13,15,2016/7/27,20,1,3,30,30,6,1,0,1,1,728189
himetan,1996/4/13,16,2016/11/9,20,1,3,30,30,5,1,0,1,1,827717
nanase,1994/5/25,1,2012/2/22,17,1,3,.,.,.,.,0,1,1,136309
nanase,1994/5/25,2,2012/5/2,17,1,3,.,.,.,.,0,1,1,155677
nanase,1994/5/25,3,2012/8/22,18,1,2,12,16,0,0,0,1,1,186613
nanase,1994/5/25,4,2012/12/19,18,1,3,15,21,0,0,0,1,1,232961
nanase,1994/5/25,5,2013/3/13,18,1,3,20,23,0,0,0,1,1,242053
nanase,1994/5/25,6,2013/7/3,19,1,2,30,30,7,1,0,1,1,337138
nanase,1994/5/25,7,2013/11/27,19,1,1,30,30,3,1,0,1,1,395127
nanase,1994/5/25,8,2014/4/2,19,1,1,30,30,5,1,0,1,1,457837
nanase,1994/5/25,9,2014/7/9,20,1,1,30,30,6,1,0,1,1,421622
nanase,1994/5/25,10,2014/10/8,20,1,1,35,35,7,1,0,1,1,478788
nanase,1994/5/25,11,2015/3/18,20,1,1,30,30,2,1,0,1,1,500297
nanase,1994/5/25,12,2015/7/22,21,1,1,30,30,2,1,0,1,1,609202
nanase,1994/5/25,13,2015/10/28,21,1,1,30,30,3,1,0,1,1,626905
nanase,1994/5/25,14,2016/3/23,21,1,1,30,30,2,1,0,1,1,749706
nanase,1994/5/25,15,2016/7/27,22,1,1,30,30,2,1,0,1,1,728189
nanase,1994/5/25,16,2016/11/9,22,1,1,30,30,4,1,0,1,1,827717
noujou,1994/10/18,1,2012/2/22,17,1,1,.,.,.,.,0,1,1,136309
noujou,1994/10/18,2,2012/5/2,17,0,4,.,.,.,.,0,1,1,155677
noujou,1994/10/18,3,2012/8/22,17,0,3,0,4,0,0,0,1,1,186613
noujou,1994/10/18,4,2012/12/19,18,1,3,1,6,0,0,0,1,1,232961
noujou,1994/10/18,5,2013/3/13,18,0,2,0,5,0,0,0,1,1,242053
noujou,1994/10/18,6,2013/7/3,18,0,3,3,6,0,0,0,1,1,337138
noujou,1994/10/18,7,2013/11/27,19,0,2,4,6,0,0,0,1,1,395127
noujou,1994/10/18,8,2014/4/2,19,0,3,1,10,0,0,0,1,1,457837
noujou,1994/10/18,9,2014/7/9,19,0,2,2,13,0,0,0,1,1,421622
noujou,1994/10/18,10,2014/10/8,19,0,2,2,12,0,0,0,1,1,478788
noujou,1994/10/18,11,2015/3/18,20,0,2,5,6,0,0,0,1,1,500297
noujou,1994/10/18,12,2015/7/22,20,0,2,7,10,0,0,0,1,1,609202
noujou,1994/10/18,13,2015/10/28,21,0,2,8,12,0,0,0,1,1,626905
noujou,1994/10/18,14,2016/3/23,21,0,2,5,12,0,0,0,1,1,749706
noujou,1994/10/18,15,2016/7/27,21,0,2,7,10,0,0,0,1,1,728189
noujou,1994/10/18,16,2016/11/9,22,0,1,7,12,0,0,0,1,1,827717
hashimoto,1993/2/20,1,2012/2/22,19,1,2,.,.,.,.,0,1,1,136309
hashimoto,1993/2/20,2,2012/5/2,19,1,2,.,.,.,.,0,1,1,155677
hashimoto,1993/2/20,3,2012/8/22,19,1,2,18,20,0,0,0,1,1,186613
hashimoto,1993/2/20,4,2012/12/19,19,1,2,24,25,0,0,0,1,1,232961
hashimoto,1993/2/20,5,2013/3/13,20,1,2,23,25,0,0,0,1,1,242053
hashimoto,1993/2/20,6,2013/7/3,20,1,1,30,30,12,1,0,1,1,337138
hashimoto,1993/2/20,7,2013/11/27,20,1,1,30,30,6,1,0,1,1,395127
hashimoto,1993/2/20,8,2014/4/2,21,1,1,29,30,0,0,0,1,1,457837
hashimoto,1993/2/20,9,2014/7/9,21,1,1,30,30,8,1,0,1,1,421622
hashimoto,1993/2/20,10,2014/10/8,21,1,1,35,35,8,1,0,1,1,478788
hashimoto,1993/2/20,11,2015/3/18,22,1,1,30,30,6,1,0,1,1,500297
hashimoto,1993/2/20,12,2015/7/22,22,1,1,30,30,4,1,0,1,1,609202
hashimoto,1993/2/20,13,2015/10/28,22,1,2,30,30,5,1,0,1,1,626905
hashimoto,1993/2/20,14,2016/3/23,23,1,1,30,30,3,1,0,1,1,749706
hashimoto,1993/2/20,15,2016/7/27,23,1,1,30,30,2,1,0,1,1,728189
hashimoto,1993/2/20,16,2016/11/9,23,1,1,30,30,4,1,0,1,1,827717
hinatima,1998/1/31,1,2012/2/22,14,0,2,.,.,.,.,0,1,1,136309
hinatima,1998/1/31,2,2012/5/2,14,0,3,.,.,.,.,0,1,1,155677
hinatima,1998/1/31,3,2012/8/22,14,0,2,0,4,0,0,0,1,1,186613
hinatima,1998/1/31,4,2012/12/19,14,0,2,1,5,0,0,0,1,1,232961
hinatima,1998/1/31,5,2013/3/13,15,0,3,0,5,0,0,0,1,1,242053
hinatima,1998/1/31,6,2013/7/3,15,0,2,1,6,0,0,0,1,1,337138
hinatima,1998/1/31,7,2013/11/27,15,0,2,5,6,0,0,0,1,1,395127
hinatima,1998/1/31,8,2014/4/2,16,1,3,1,10,0,0,0,1,1,457837
hinatima,1998/1/31,9,2014/7/9,16,0,1,0,12,0,0,0,1,1,421622
hinatima,1998/1/31,10,2014/10/8,16,0,3,5,14,0,0,0,1,1,478788
hinatima,1998/1/31,11,2015/3/18,17,0,3,1,12,0,0,0,1,1,500297
hinatima,1998/1/31,12,2015/7/22,17,0,3,8,11,0,0,0,1,1,609202
hinatima,1998/1/31,13,2015/10/28,17,0,2,12,13,0,0,0,1,1,626905
hinatima,1998/1/31,14,2016/3/23,18,0,1,10,16,0,0,0,1,1,749706
hinatima,1998/1/31,15,2016/7/27,18,0,1,12,16,0,0,0,1,1,728189
hinatima,1998/1/31,16,2016/11/9,18,0,1,16,16,8,1,0,1,1,827717
hoshino,1998/2/6,1,2012/2/22,14,1,1,.,.,.,.,0,1,1,136309
hoshino,1998/2/6,2,2012/5/2,14,1,3,.,.,.,.,0,1,1,155677
hoshino,1998/2/6,3,2012/8/22,14,1,1,1,10,0,0,0,1,1,186613
hoshino,1998/2/6,4,2012/12/19,14,1,1,1,11,0,0,0,1,1,232961
